movie_title,release_date,total_gross,inflation_adjusted_gross,release_year,genre_Action,genre_Adventure,genre_Black Comedy,genre_Comedy,genre_Concert/Performance,genre_Documentary,genre_Drama,genre_Horror,genre_Musical,genre_Other,genre_Romantic Comedy,genre_Thriller/Suspense,genre_Western,mpaa_rating_G,mpaa_rating_Not Rated,mpaa_rating_PG,mpaa_rating_PG-13,mpaa_rating_R
Terminal Velocity,1994-09-23,16478900,34048315,1994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ed Wood,1994-09-30,5828466,12042634,1994,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The Puppet Masters,1994-10-21,8579626,17727017,1994,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Squanto: A Warrior's Tale,1994-10-28,3319344,6858345,1994,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
The Santa Clause,1994-11-11,144833357,298369717,1994,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
A Low Down Dirty Shame,1994-11-23,29317886,60321919,1994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The Jungle Book,1994-12-25,44342956,88930321,1994,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Houseguest,1995-01-06,26325256,51016522,1995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bad Company,1995-01-20,3523909,6829092,1995,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Miami Rhapsody,1995-01-27,5086578,9857435,1995,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
The Jerky Boys,1995-02-03,7555256,14641561,1995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Heavy Weights,1995-02-17,17671310,34245779,1995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Man of the House,1995-03-03,40029009,77573459,1995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Roommates,1995-03-03,12076989,23404369,1995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Tall Tale,1995-03-24,8247627,15983331,1995,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
A Pyromaniac's Love Story,1995-03-28,468240,907414,1995,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Jefferson in Paris,1995-03-31,2461628,4770461,1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Funny Bones,1995-03-31,529135,1025425,1995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
